email,age,address
ahmed@gmail.com    ,20,tunis 
mohamed@gmail.com    ,26,bizerte
bilel@gmail.com    ,22,ariana
mariem@gmail.com    ,28,tunis 
arij@gmail.com    ,27,sousse
mourad@gmail.com    ,26,tunis 
karim@gmail.com    ,26,jendouba
rami@gmail.com    ,30,nabeul 
amine@gmail.com    ,26,gabes 
neymar@gmail.com   ,19,paris 
cr7@gmail.com   ,35,turin
malek@gmail.com   ,27,beja
imed@gmail.com   ,28,tunis 
zeineb@gmail.com   ,29,dortmund
takoua@gmail.com   ,30,kef
jamel@gmail.com   ,31,djerba
messi@gmail.com   ,32,barcelona
